,GENE,GENE_ID
0,PDCD6TDRP,ENSG00000249915ENSG00000180190
3,PDCD6KBTBD11,ENSG00000249915ENSG00000176595
4,PDCD6RP11-728L1.1,ENSG00000249915ENSG00000253571
5,PDCD6MCPH1,ENSG00000249915ENSG00000147316
7,CTD-2083E4.6MCPH1,ENSG00000248925ENSG00000147316
9,PDCD6CTD-2541M15.1,ENSG00000249915ENSG00000249898
10,CTD-2228K2.1MCPH1,ENSG00000250645ENSG00000147316
11,CTD-2228K2.5CTD-2541M15.1,ENSG00000188242ENSG00000249898
13,EXOC3CTD-2541M15.1,ENSG00000180104ENSG00000249898
14,EXOC3AGPAT5,ENSG00000180104ENSG00000155189
15,CTD-2228K2.5AGPAT5,ENSG00000188242ENSG00000155189
18,CTD-2228K2.5DEFA4,ENSG00000188242ENSG00000164821
19,CTD-2228K2.5MFHAS1,ENSG00000188242ENSG00000147324
20,EXOC3MFHAS1,ENSG00000180104ENSG00000147324
21,EXOC3RNU6-682P,ENSG00000180104ENSG00000200713
22,CTD-2228K2.5ERI1,ENSG00000188242ENSG00000104626
24,EXOC3ERI1,ENSG00000180104ENSG00000104626
28,EXOC3C8orf74,ENSG00000180104ENSG00000171060
29,CTD-2228K2.5C8orf74,ENSG00000188242ENSG00000171060
32,ZDHHC11BC8orf74,ENSG00000206077ENSG00000171060
35,ZDHHC11BC8orf12,ENSG00000206077ENSG00000184608
36,ZDHHC11BFAM167A,ENSG00000206077ENSG00000154319
42,ZDHHC11BNEIL2,ENSG00000206077ENSG00000154328
44,TRIP13NEIL2,ENSG00000071539ENSG00000154328
48,MIR4635NEIL2,ENSG00000263834ENSG00000154328
49,MIR4635SGCZ,ENSG00000263834ENSG00000185053
50,LPCAT1SGCZ,ENSG00000153395ENSG00000185053
51,LPCAT1RP11-3G21.1,ENSG00000153395ENSG00000254575
54,LPCAT1RNU7-153P,ENSG00000153395ENSG00000252264
55,LPCAT1ZDHHC2,ENSG00000153395ENSG00000104219
58,SRD5A1MTUS1,ENSG00000145545ENSG00000129422
63,ADCY2MTUS1,ENSG00000078295ENSG00000129422
66,SEMA5AMTUS1,ENSG00000112902ENSG00000129422
68,FBXL7MTUS1,ENSG00000183580ENSG00000129422
70,CDH18MTUS1,ENSG00000145526ENSG00000129422
74,CDH18CTD-2547L16.1,ENSG00000145526ENSG00000245281
76,CDH18CTD-2547L16.3,ENSG00000145526ENSG00000253384
77,CDH9CTD-2547L16.1,ENSG00000113100ENSG00000245281
79,GOLPH3CTD-2547L16.1,ENSG00000113384ENSG00000245281
80,CTD-2152M20.2LZTS1,ENSG00000250764ENSG00000061337
81,GOLPH3LZTS1,ENSG00000113384ENSG00000061337
83,SLC1A3DMTN,ENSG00000079215ENSG00000158856
87,CTD-2353F22.1DMTN,ENSG00000250155ENSG00000158856
89,NIPBLDMTN,ENSG00000164190ENSG00000158856
92,NUP155DMTN,ENSG00000113569ENSG00000158856
96,GDNFDMTN,ENSG00000168621ENSG00000158856
103,EGFLAM-AS2DMTN,ENSG00000248572ENSG00000158856
105,EGFLAM-AS1DMTN,ENSG00000249491ENSG00000158856
106,CTD-2108O9.4DMTN,ENSG00000248234ENSG00000158856
107,FYBDMTN,ENSG00000082074ENSG00000158856
117,DAB2DMTN,ENSG00000153071ENSG00000158856
119,C9DMTN,ENSG00000113600ENSG00000158856
124,RPL37DMTN,ENSG00000145592ENSG00000158856
125,SNORD72DMTN,ENSG00000212296ENSG00000158856
131,C5orf51DMTN,ENSG00000205765ENSG00000158856
134,GHRDMTN,ENSG00000112964ENSG00000158856
139,ZNF131DMTN,ENSG00000172262ENSG00000158856
140,ZNF131REEP4,ENSG00000172262ENSG00000168476
150,CTD-2175A23.1REEP4,ENSG00000249899ENSG00000168476
152,SNX18REEP4,ENSG00000178996ENSG00000168476
154,SNX18BMP1,ENSG00000178996ENSG00000168487
155,GZMABMP1,ENSG00000145649ENSG00000168487
156,MCIDASSFTPC,ENSG00000234602ENSG00000168484
157,MCIDASBMP1,ENSG00000234602ENSG00000168487
159,PPAP2ABMP1,ENSG00000067113ENSG00000168487
160,PPAP2ASFTPC,ENSG00000067113ENSG00000168484
161,RNF138P1BMP1,ENSG00000250853ENSG00000168487
165,MIER3BMP1,ENSG00000155545ENSG00000168487
166,MIER3SFTPC,ENSG00000155545ENSG00000168484
170,CTD-2310F14.1SFTPC,ENSG00000271828ENSG00000168484
175,AC016644.1SFTPC,ENSG00000235635ENSG00000168484
181,RAB3CBMP1,ENSG00000152932ENSG00000168487
183,C5orf64BMP1,ENSG00000178722ENSG00000168487
185,RP11-2O17.2BMP1,ENSG00000248529ENSG00000168487
192,ADAMTS6BMP1,ENSG00000049192ENSG00000168487
194,ADAMTS6RHOBTB2,ENSG00000049192ENSG00000008853
197,CTD-2194F4.2RHOBTB2,ENSG00000248288ENSG00000008853
198,AC025442.3PEBP4,ENSG00000253744ENSG00000134020
199,CD180RHOBTB2,ENSG00000134061ENSG00000008853
200,CD180RP11-875O11.1,ENSG00000134061ENSG00000245025
201,CTD-2306M10.1RHOBTB2,ENSG00000270107ENSG00000008853
202,MRPS36RHOBTB2,ENSG00000134056ENSG00000008853
206,MRPS36PEBP4,ENSG00000134056ENSG00000134020
207,CCDC125RHOBTB2,ENSG00000183323ENSG00000008853
208,CCDC125RP11-875O11.1,ENSG00000183323ENSG00000245025
212,GTF2H2CRHOBTB2,ENSG00000183474ENSG00000008853
213,GUSBP3RHOBTB2,ENSG00000253203ENSG00000008853
216,GTF2H2CRP11-875O11.1,ENSG00000183474ENSG00000245025
219,GTF2H2CR3HCC1,ENSG00000183474ENSG00000104679
228,TMEM171R3HCC1,ENSG00000157111ENSG00000104679
229,TMEM171NKX3-1,ENSG00000157111ENSG00000167034
231,TMEM171NEFM,ENSG00000157111ENSG00000104722
232,RP11-232L2.2NEFM,ENSG00000251599ENSG00000104722
233,TMEM174NEFM,ENSG00000164325ENSG00000104722
235,FAM169ANEFM,ENSG00000198780ENSG00000104722
237,FAM169AGS1-72M22.1,ENSG00000198780ENSG00000272163
243,ANKRD31NEFM,ENSG00000145700ENSG00000104722
244,ANKRD31GS1-72M22.1,ENSG00000145700ENSG00000272163
245,ANKRD31TRIM35,ENSG00000145700ENSG00000104228
248,ANKRD31CHRNA2,ENSG00000145700ENSG00000120903
249,POLKCHRNA2,ENSG00000122008ENSG00000120903
255,POLKEPHX2,ENSG00000122008ENSG00000120915
263,POLKCLU,ENSG00000122008ENSG00000120885
264,CTD-2236F14.1CLU,ENSG00000249713ENSG00000120885
265,F2RL2CLU,ENSG00000164220ENSG00000120885
267,CRHBPCLU,ENSG00000145708ENSG00000120885
270,RNU6ATAC36PCLU,ENSG00000252684ENSG00000120885
271,ANKRD34BCLU,ENSG00000189127ENSG00000120885
273,RASGRF2CLU,ENSG00000113319ENSG00000120885
275,CTD-2193P3.2CLU,ENSG00000249772ENSG00000120885
276,RPS23CLU,ENSG00000186468ENSG00000120885
279,RPS23SCARA3,ENSG00000186468ENSG00000168077
280,ATG10SCARA3,ENSG00000152348ENSG00000168077
283,RPS23ELP3,ENSG00000186468ENSG00000134014
285,ATG10ELP3,ENSG00000152348ENSG00000134014
286,XRCC4ELP3,ENSG00000152422ENSG00000134014
289,TMEM167AELP3,ENSG00000174695ENSG00000134014
296,VCAN-AS1ELP3,ENSG00000249835ENSG00000134014
299,VCAN-AS1INTS9,ENSG00000249835ENSG00000104299
300,TMEM161BINTS9,ENSG00000164180ENSG00000104299
309,MBLAC2TMEM66,ENSG00000176055ENSG00000133872
310,POLR3GTMEM66,ENSG00000113356ENSG00000133872
327,ARRDC3TMEM66,ENSG00000113369ENSG00000133872
334,FAM81BTMEM66,ENSG00000153347ENSG00000133872
336,CTD-2538A21.1TMEM66,ENSG00000225165ENSG00000133872
341,ARSKTMEM66,ENSG00000164291ENSG00000133872
345,SPATA9TMEM66,ENSG00000145757ENSG00000133872
351,RFESDTMEM66,ENSG00000175449ENSG00000133872
352,GIN1TMEM66,ENSG00000145723ENSG00000133872
363,PJA2TMEM66,ENSG00000198961ENSG00000133872
365,MAN2A1TMEM66,ENSG00000112893ENSG00000133872
371,NREPTMEM66,ENSG00000134986ENSG00000133872
373,NREP-AS1TMEM66,ENSG00000250095ENSG00000133872
375,APCTMEM66,ENSG00000134982ENSG00000133872
378,APCRP11-489E7.4,ENSG00000134982ENSG00000272256
395,CTC-554D6.1DCTN6,ENSG00000258864ENSG00000104671
396,APCDCTN6,ENSG00000134982ENSG00000104671
397,APCLEPROTL1,ENSG00000134982ENSG00000104660
402,APCRP11-51J9.4,ENSG00000134982ENSG00000253708
403,APCNRG1,ENSG00000134982ENSG00000157168
405,CTC-554D6.1NRG1,ENSG00000258864ENSG00000157168
414,YTHDC2NRG1,ENSG00000047188ENSG00000157168
420,TRIM36NRG1,ENSG00000152503ENSG00000157168
423,TRIM36RP11-1002K11.1,ENSG00000152503ENSG00000272327
426,CTC-428G20.3NRG1,ENSG00000248175ENSG00000157168
427,TMED7-TICAM2NRG1,ENSG00000251201ENSG00000157168
429,TICAM2NRG1,ENSG00000243414ENSG00000157168
433,DTWD2NRG1,ENSG00000169570ENSG00000157168
436,DTWD2RP11-1002K11.1,ENSG00000169570ENSG00000272327
437,FTMTERLIN2,ENSG00000181867ENSG00000147475
438,SRFBP1ERLIN2,ENSG00000151304ENSG00000147475
440,CSNK1G3ERLIN2,ENSG00000151292ENSG00000147475
447,CSNK1G3ADRB3,ENSG00000151292ENSG00000188778
450,MEGF10ADRB3,ENSG00000145794ENSG00000188778
451,MEGF10ASH2L,ENSG00000145794ENSG00000129691
455,PRRC1ASH2L,ENSG00000164244ENSG00000129691
464,CTC-228N24.3ASH2L,ENSG00000245937ENSG00000129691
465,CTC-228N24.1ASH2L,ENSG00000230561ENSG00000129691
467,CTC-228N24.1BAG4,ENSG00000230561ENSG00000156735
468,ADAMTS19-AS1LSM1,ENSG00000249421ENSG00000175324
469,CHSY3BAG4,ENSG00000198108ENSG00000156735
470,CHSY3LSM1,ENSG00000198108ENSG00000175324
471,LYRM7LSM1,ENSG00000186687ENSG00000175324
472,LYRM7BAG4,ENSG00000186687ENSG00000156735
