GENE_ID,GENE,number_case,number_control,case_fold, control_fold,case_percentage,control_percentage, absolute_overrepresentation
ENSG00000001626,CFTR,3,2,0.6,-0.4,17.65,11.11,6.54
ENSG00000000457,SCYL3,4,2,0.67,-0.33,23.53,11.11,12.42
ENSG00000000419,DPM1,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000000460,C1orf112,5,2,0.71,-0.29,29.41,11.11,18.3
ENSG00000002726,AOC1,17,18,0.49,-0.51,100.0,100.0,0.0
ENSG00000001617,SEMA3F,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000004139,SARM1,17,18,0.49,-0.51,100.0,100.0,0.0
ENSG00000003509,NDUFAF7,3,2,0.6,-0.4,17.65,11.11,6.54
ENSG00000004897,CDC27,17,18,0.49,-0.51,100.0,100.0,0.0
ENSG00000002822,MAD1L1,2,3,0.4,-0.6,11.76,16.67,4.9
ENSG00000002746,HECW1,2,4,0.33,-0.67,11.76,22.22,10.46
ENSG00000004399,PLXND1,6,4,0.6,-0.4,35.29,22.22,13.07
ENSG00000004809,SLC22A16,14,18,0.44,-0.56,82.35,100.0,17.65
ENSG00000004455,AK2,4,3,0.57,-0.43,23.53,16.67,6.86
ENSG00000005206,SPPL2B,14,18,0.44,-0.56,82.35,100.0,17.65
ENSG00000004838,ZMYND10,3,2,0.6,-0.4,17.65,11.11,6.54
ENSG00000004766,VPS50,4,2,0.67,-0.33,23.53,11.11,12.42
ENSG00000005243,COPZ2,9,13,0.41,-0.59,52.94,72.22,19.28
ENSG00000005075,POLR2J,7,1,0.88,-0.12,41.18,5.56,35.62
ENSG00000004975,DVL2,2,4,0.33,-0.67,11.76,22.22,10.46
ENSG00000005844,ITGAL,5,5,0.5,-0.5,29.41,27.78,1.63
ENSG00000006638,TBXA2R,15,13,0.54,-0.46,88.24,72.22,16.01
ENSG00000006756,ARSD,14,12,0.54,-0.46,82.35,66.67,15.69
ENSG00000005810,MYCBP2,2,3,0.4,-0.6,11.76,16.67,4.9
ENSG00000005187,ACSM3,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000007047,MARK4,6,4,0.6,-0.4,35.29,22.22,13.07
ENSG00000005884,ITGA3,6,1,0.86,-0.14,35.29,5.56,29.74
ENSG00000005339,CREBBP,5,8,0.38,-0.62,29.41,44.44,15.03
ENSG00000007376,RPUSD1,2,3,0.4,-0.6,11.76,16.67,4.9
ENSG00000007541,PIGQ,13,11,0.54,-0.46,76.47,61.11,15.36
ENSG00000006071,ABCC8,1,8,0.11,-0.89,5.88,44.44,38.56
ENSG00000006468,ETV1,5,8,0.38,-0.62,29.41,44.44,15.03
ENSG00000007174,DNAH9,8,10,0.44,-0.56,47.06,55.56,8.5
ENSG00000007402,CACNA2D2,3,2,0.6,-0.4,17.65,11.11,6.54
ENSG00000008128,CDK11A,16,18,0.47,-0.53,94.12,100.0,5.88
ENSG00000005448,WDR54,2,3,0.4,-0.6,11.76,16.67,4.9
ENSG00000007545,CRAMP1,2,3,0.4,-0.6,11.76,16.67,4.9
ENSG00000008710,PKD1,14,14,0.5,-0.5,82.35,77.78,4.58
ENSG00000005513,SOX8,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000006611,USH1C,8,8,0.5,-0.5,47.06,44.44,2.61
ENSG00000006534,ALDH3B1,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000008838,MED24,12,13,0.48,-0.52,70.59,72.22,1.63
ENSG00000010438,PRSS3,17,18,0.49,-0.51,100.0,100.0,0.0
ENSG00000007341,ST7L,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000007168,PAFAH1B1,2,3,0.4,-0.6,11.76,16.67,4.9
ENSG00000006695,COX10,1,3,0.25,-0.75,5.88,16.67,10.78
ENSG00000008294,SPAG9,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000006704,GTF2IRD1,3,3,0.5,-0.5,17.65,16.67,0.98
ENSG00000009790,TRAF3IP3,4,1,0.8,-0.2,23.53,5.56,17.97
ENSG00000006788,MYH13,9,8,0.53,-0.47,52.94,44.44,8.5
ENSG00000011426,ANLN,2,3,0.4,-0.6,11.76,16.67,4.9
ENSG00000007516,BAIAP3,2,5,0.29,-0.71,11.76,27.78,16.01
ENSG00000008382,MPND,8,5,0.62,-0.38,47.06,27.78,19.28
ENSG00000006432,MAP3K9,3,3,0.5,-0.5,17.65,16.67,0.98
ENSG00000006283,CACNA1G,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000007062,PROM1,3,5,0.38,-0.62,17.65,27.78,10.13
ENSG00000007202,KIAA0100,4,9,0.31,-0.69,23.53,50.0,26.47
ENSG00000018189,RUFY3,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000011451,WIZ,6,2,0.75,-0.25,35.29,11.11,24.18
ENSG00000018280,SLC11A1,4,3,0.57,-0.43,23.53,16.67,6.86
ENSG00000006837,CDKL3,3,1,0.75,-0.25,17.65,5.56,12.09
ENSG00000007384,RHBDF1,3,2,0.6,-0.4,17.65,11.11,6.54
ENSG00000009413,REV3L,1,4,0.2,-0.8,5.88,22.22,16.34
ENSG00000018607,ZNF806,17,18,0.49,-0.51,100.0,100.0,0.0
ENSG00000010310,GIPR,6,6,0.5,-0.5,35.29,33.33,1.96
ENSG00000022567,SLC45A4,5,1,0.83,-0.17,29.41,5.56,23.86
ENSG00000009830,POMT2,2,2,0.5,-0.5,11.76,11.11,0.65
ENSG00000007314,SCN4A,3,3,0.5,-0.5,17.65,16.67,0.98
ENSG00000010322,NISCH,0,6,0.0,-1.0,0.0,33.33,33.33
