GENE_ID,HIGH,LOW,MODERATE,MODIFIER,MODERATE_ratio_control,HIGH_ratio_control,LOW_ratio_control,MODIFIER_ratio_control
ENSG00000000938,0,6,0,0,0.0,0.0,1.0,0.0
ENSG00000002549,0,0,2,4,0.33,0.0,0.0,0.67
ENSG00000002586,0,0,4,2,0.67,0.0,0.0,0.33
ENSG00000002834,0,0,0,8,0.0,0.0,0.0,1.0
ENSG00000003056,0,0,0,12,0.0,0.0,0.0,1.0
ENSG00000003137,0,3,0,2,0.0,0.0,0.6,0.4
ENSG00000004142,0,0,0,6,0.0,0.0,0.0,1.0
ENSG00000004468,2,0,2,4,0.25,0.25,0.0,0.5
ENSG00000004478,0,0,0,4,0.0,0.0,0.0,1.0
ENSG00000004660,0,0,0,6,0.0,0.0,0.0,1.0
ENSG00000004866,0,17,0,4,0.0,0.0,0.81,0.19
ENSG00000004939,0,1,0,1,0.0,0.0,0.5,0.5
ENSG00000005022,0,0,1,3,0.25,0.0,0.0,0.75
ENSG00000005059,0,0,0,4,0.0,0.0,0.0,1.0
ENSG00000005108,0,2,1,6,0.11,0.0,0.22,0.67
ENSG00000005238,0,0,14,6,0.7,0.0,0.0,0.3
ENSG00000005302,0,17,1,15,0.03,0.0,0.52,0.45
ENSG00000005421,0,0,2,2,0.5,0.0,0.0,0.5
ENSG00000005436,0,0,0,7,0.0,0.0,0.0,1.0
ENSG00000005483,0,3,0,4,0.0,0.0,0.43,0.57
ENSG00000005486,9,0,0,0,0.0,1.0,0.0,0.0
ENSG00000005700,0,0,0,7,0.0,0.0,0.0,1.0
ENSG00000005812,0,1,0,3,0.0,0.0,0.25,0.75
ENSG00000005882,0,4,0,13,0.0,0.0,0.24,0.76
ENSG00000006015,0,0,0,8,0.0,0.0,0.0,1.0
ENSG00000006016,0,0,0,4,0.0,0.0,0.0,1.0
ENSG00000006042,0,2,7,0,0.78,0.0,0.22,0.0
ENSG00000006377,0,0,2,2,0.5,0.0,0.0,0.5
ENSG00000006530,0,7,0,7,0.0,0.0,0.5,0.5
ENSG00000006576,0,5,0,1,0.0,0.0,0.83,0.17
ENSG00000006606,2,0,0,0,0.0,1.0,0.0,0.0
ENSG00000006744,0,7,0,7,0.0,0.0,0.5,0.5
ENSG00000006831,0,0,1,0,1.0,0.0,0.0,0.0
ENSG00000007216,0,4,4,16,0.17,0.0,0.17,0.67
ENSG00000007392,0,0,0,14,0.0,0.0,0.0,1.0
ENSG00000007866,0,0,0,3,0.0,0.0,0.0,1.0
ENSG00000007933,0,0,5,2,0.71,0.0,0.0,0.29
ENSG00000007952,0,0,0,5,0.0,0.0,0.0,1.0
ENSG00000008056,0,2,0,2,0.0,0.0,0.5,0.5
ENSG00000008323,0,0,0,14,0.0,0.0,0.0,1.0
