GENE_ID,GENE,number_case,number_control,case_control_ratio
ENSG00000000457,SCYL3,4,0,4
ENSG00000000460,C1orf112,5,0,5
ENSG00000002726,AOC1,17,18,-0.06
ENSG00000004139,SARM1,17,18,-0.06
ENSG00000004897,CDC27,17,18,-0.06
ENSG00000002746,HECW1,0,4,-4
ENSG00000004399,PLXND1,6,4,0.33
ENSG00000004809,SLC22A16,14,18,-0.29
ENSG00000004455,AK2,4,0,4
ENSG00000005206,SPPL2B,14,18,-0.29
ENSG00000004766,VPS50,4,0,4
ENSG00000005243,COPZ2,9,13,-0.44
ENSG00000005075,POLR2J,7,0,7
ENSG00000004975,DVL2,0,4,-4
ENSG00000005844,ITGAL,5,5,0.0
ENSG00000006638,TBXA2R,15,13,0.13
ENSG00000006756,ARSD,14,12,0.14
ENSG00000007047,MARK4,6,4,0.33
ENSG00000005884,ITGA3,6,0,6
ENSG00000005339,CREBBP,5,8,-0.6
ENSG00000007541,PIGQ,13,11,0.15
ENSG00000006071,ABCC8,0,8,-8
ENSG00000006468,ETV1,5,8,-0.6
ENSG00000007174,DNAH9,8,10,-0.25
ENSG00000008128,CDK11A,16,18,-0.12
ENSG00000008710,PKD1,14,14,0.0
ENSG00000006611,USH1C,8,8,0.0
ENSG00000008838,MED24,12,13,-0.08
ENSG00000010438,PRSS3,17,18,-0.06
ENSG00000009790,TRAF3IP3,4,0,4
ENSG00000006788,MYH13,9,8,0.11
ENSG00000007516,BAIAP3,0,5,-5
ENSG00000008382,MPND,8,5,0.38
ENSG00000007062,PROM1,0,5,-5
ENSG00000007202,KIAA0100,4,9,-1.25
ENSG00000011451,WIZ,6,0,6
ENSG00000018280,SLC11A1,4,0,4
ENSG00000009413,REV3L,0,4,-4
ENSG00000018607,ZNF806,17,18,-0.06
ENSG00000010310,GIPR,6,6,0.0
ENSG00000022567,SLC45A4,5,0,5
ENSG00000010322,NISCH,0,6,-6
ENSG00000028310,BRD9,9,4,0.56
ENSG00000008196,TFAP2B,0,4,-4
ENSG00000010818,HIVEP2,0,4,-4
ENSG00000013573,DDX11,15,18,-0.2
ENSG00000008300,CELSR3,0,4,-4
ENSG00000029363,BCLAF1,17,18,-0.06
ENSG00000010361,FUZ,4,0,4
ENSG00000011523,CEP68,5,8,-0.6
ENSG00000014164,ZC3H3,7,5,0.29
ENSG00000034063,name not found,8,10,-0.25
ENSG00000010292,NCAPD2,0,4,-4
ENSG00000015592,STMN4,16,18,-0.12
ENSG00000034152,MAP2K3,17,18,-0.06
ENSG00000010327,STAB1,4,6,-0.5
ENSG00000008869,HEATR5B,5,6,-0.2
ENSG00000013288,MAN2B2,5,0,5
ENSG00000008735,MAPK8IP2,7,0,7
ENSG00000041802,LSG1,13,18,-0.38
ENSG00000009724,MASP2,0,4,-4
ENSG00000013374,NUB1,8,10,-0.25
ENSG00000020256,ZFP64,0,4,-4
ENSG00000042304,C2orf83,4,7,-0.75
ENSG00000010610,CD4,10,6,0.4
ENSG00000021826,CPS1,14,17,-0.21
ENSG00000044090,CUL7,17,18,-0.06
ENSG00000047410,TPR,6,6,0.0
ENSG00000014914,MTMR11,4,0,4
ENSG00000048707,VPS13D,4,0,4
ENSG00000013725,CD6,8,8,0.0
ENSG00000026036,RTEL1-TNFRSF6B,6,0,6
ENSG00000055609,KMT2C,17,18,-0.06
ENSG00000021762,OSBPL5,6,9,-0.5
ENSG00000011566,MAP4K3,0,4,-4
ENSG00000058453,CROCC,13,9,0.31
ENSG00000015568,RGPD5,4,6,-0.5
ENSG00000059122,FLYWCH1,11,13,-0.18
ENSG00000025770,NCAPH2,7,7,0.0
