GENE_ID,HIGH,LOW,MODERATE,MODIFIER,HIGH_ratio,LOW_ratio,MODERATE_ratio,MODIFIER_ratio
ENSG00000001036,0,0,1,7,0.0,0.0,0.12,0.88
ENSG00000001167,0,4,0,0,0.0,1.0,0.0,0.0
ENSG00000001461,0,0,3,1,0.0,0.0,0.75,0.25
ENSG00000001561,0,0,1,0,0.0,0.0,1.0,0.0
ENSG00000002587,0,0,1,2,0.0,0.0,0.33,0.67
ENSG00000002933,0,2,0,9,0.0,0.18,0.0,0.82
ENSG00000003096,0,0,0,10,0.0,0.0,0.0,1.0
ENSG00000003393,0,3,3,8,0.0,0.21,0.21,0.57
ENSG00000003402,0,0,16,22,0.0,0.0,0.42,0.58
ENSG00000003436,0,0,0,8,0.0,0.0,0.0,1.0
ENSG00000003756,0,0,0,11,0.0,0.0,0.0,1.0
ENSG00000003987,0,2,0,3,0.0,0.4,0.0,0.6
ENSG00000004776,0,0,0,3,0.0,0.0,0.0,1.0
ENSG00000004864,0,3,0,1,0.0,0.75,0.0,0.25
ENSG00000005073,0,0,2,0,0.0,0.0,1.0,0.0
ENSG00000005100,0,0,3,2,0.0,0.0,0.6,0.4
ENSG00000005102,0,3,3,2,0.0,0.38,0.38,0.25
ENSG00000005189,0,5,0,3,0.0,0.62,0.0,0.38
ENSG00000005249,0,1,0,0,0.0,1.0,0.0,0.0
ENSG00000006007,0,3,0,1,0.0,0.75,0.0,0.25
ENSG00000006025,0,7,0,11,0.0,0.39,0.0,0.61
ENSG00000006062,0,0,0,5,0.0,0.0,0.0,1.0
ENSG00000006327,0,1,1,13,0.0,0.07,0.07,0.87
ENSG00000006453,0,0,0,4,0.0,0.0,0.0,1.0
ENSG00000006459,0,0,2,8,0.0,0.0,0.2,0.8
ENSG00000006740,0,5,0,1,0.0,0.83,0.0,0.17
ENSG00000007080,0,0,0,3,0.0,0.0,0.0,1.0
ENSG00000007171,0,0,0,1,0.0,0.0,0.0,1.0
ENSG00000007306,0,0,0,5,0.0,0.0,0.0,1.0
ENSG00000008311,0,0,4,10,0.0,0.0,0.29,0.71
ENSG00000008438,0,0,0,2,0.0,0.0,0.0,1.0
ENSG00000008513,0,0,5,9,0.0,0.0,0.36,0.64
ENSG00000009765,0,0,14,4,0.0,0.0,0.78,0.22
ENSG00000009780,0,0,0,6,0.0,0.0,0.0,1.0
ENSG00000010165,0,3,0,4,0.0,0.43,0.0,0.57
ENSG00000010256,0,0,1,8,0.0,0.0,0.11,0.89
ENSG00000010318,0,0,0,4,0.0,0.0,0.0,1.0
ENSG00000011028,0,2,1,9,0.0,0.17,0.08,0.75
ENSG00000011083,0,3,0,4,0.0,0.43,0.0,0.57
ENSG00000011114,0,0,4,2,0.0,0.0,0.67,0.33
ENSG00000011243,0,0,0,24,0.0,0.0,0.0,1.0
ENSG00000011260,0,0,0,3,0.0,0.0,0.0,1.0
ENSG00000011347,0,0,0,9,0.0,0.0,0.0,1.0
ENSG00000011478,0,0,2,1,0.0,0.0,0.67,0.33
ENSG00000012061,0,0,0,32,0.0,0.0,0.0,1.0
